*Nomor Kontrak;*Periode;*Jatuh Tempo;installment;Denda;Tanggal pelunasan
10667102;1;2024-01-14;1845000.0;0;2024-01-14
10667102;2;2024-02-14;1845000.0;0;2024-02-14
10667102;3;2024-03-14;1845000.0;0;2024-03-14
10667102;4;2024-04-14;1845000.0;0;2024-04-13
10667102;5;2024-05-14;1845000.0;0;2024-05-13
10667102;6;2024-06-14;1845000.0;77931;2024-06-16
10667102;7;2024-07-14;1845000.0;0;2024-07-09
10667102;8;2024-08-14;1845000.0;0;2024-08-14
10667102;9;2024-09-14;1845000.0;0;2024-09-09
10667102;10;2024-10-14;1845000.0;0;2024-10-14
10667102;11;2024-11-14;1845000.0;0;2024-11-14
10667102;12;2024-12-14;1845000.0;27203;2024-12-16
10667102;13;2025-01-14;1845000.0;0;2025-01-14
10667102;14;2025-02-14;1845000.0;38074;2025-02-15
10667102;15;2025-03-14;1845000.0;28761;2025-03-20
10667102;16;2025-04-14;1845000.0;0;2025-04-14
10667102;17;2025-05-14;1845000.0;0;2025-05-13
10667102;18;2025-06-14;1845000.0;54291;2025-06-16
10667102;19;2025-07-14;1845000.0;0;2025-07-13
10667102;20;2025-08-14;1845000.0;44503;2025-08-23
17274552;1;2024-02-03;6148000.0;31137;2024-02-12
17274552;2;2024-03-03;6148000.0;0;2024-03-03
17274552;3;2024-04-03;6148000.0;0;2024-03-29
17274552;4;2024-05-03;6148000.0;0;2024-05-03
17274552;5;2024-06-03;6148000.0;85623;2024-06-08
17274552;6;2024-07-03;6148000.0;0;2024-07-03
17274552;7;2024-08-03;6148000.0;0;2024-08-03
17274552;8;2024-09-03;6148000.0;0;2024-09-03
17274552;9;2024-10-03;6148000.0;54297;2024-10-06
17274552;10;2024-11-03;6148000.0;69110;2024-11-08
17274552;11;2024-12-03;6148000.0;70947;2024-12-08
17274552;12;2025-01-03;6148000.0;60387;2025-01-11
40379198;1;2024-02-01;1568000.0;64718;2024-02-08
40379198;2;2024-03-01;1568000.0;0;2024-02-26
40379198;3;2024-04-01;1568000.0;0;2024-04-01
40379198;4;2024-05-01;1568000.0;0;2024-05-01
40379198;5;2024-06-01;1568000.0;0;2024-06-01
40379198;6;2024-07-01;1568000.0;19618;2024-07-02
40379198;7;2024-08-01;1568000.0;12899;2024-08-07
40379198;8;2024-09-01;1568000.0;61816;2024-09-03
40379198;9;2024-10-01;1568000.0;96843;2024-10-11
40379198;10;2024-11-01;1568000.0;92220;2024-11-10
40379198;11;2024-12-01;1568000.0;0;2024-12-01
40379198;12;2025-01-01;1568000.0;0;2025-01-01
40379198;13;2025-02-01;1568000.0;0;2025-02-01
40379198;14;2025-03-01;1568000.0;87575;2025-03-05
40379198;15;2025-04-01;1568000.0;80311;2025-04-06
40379198;16;2025-05-01;1568000.0;0;2025-05-01
40379198;17;2025-06-01;1568000.0;0;2025-05-29
41338501;1;2024-04-30;1229000.0;0;2024-04-30
41338501;2;2024-05-31;1229000.0;46303;2024-06-06
41338501;3;2024-06-30;1229000.0;71328;2024-07-02
41338501;4;2024-07-31;1229000.0;0;2024-07-31
41338501;5;2024-08-31;1229000.0;0;2024-08-27
41338501;6;2024-09-30;1229000.0;0;2024-09-27
41338501;7;2024-10-31;1229000.0;0;2024-10-31
41338501;8;2024-11-30;1229000.0;0;2024-11-30
41338501;9;2024-12-31;1229000.0;0;2024-12-31
41338501;10;2025-01-31;1229000.0;0;2025-01-31
41338501;11;2025-02-28;1229000.0;83725;2025-03-09
41338501;12;2025-03-31;1229000.0;0;2025-03-30
41338501;13;2025-04-30;1229000.0;0;2025-04-30
41338501;14;2025-05-31;1229000.0;0;2025-05-31
41338501;15;2025-06-30;1229000.0;0;2025-06-30
41338501;16;2025-07-31;1229000.0;58106;2025-08-08
41338501;17;2025-08-31;1229000.0;0;2025-08-31
41338501;18;2025-09-30;1229000.0;0;2025-09-25
50424998;1;2023-07-09;2214000.0;0;2023-07-09
50424998;2;2023-08-09;2214000.0;0;2023-08-09
50424998;3;2023-09-09;2214000.0;75343;2023-09-16
50424998;4;2023-10-09;2214000.0;83826;2023-10-13
50424998;5;2023-11-09;2214000.0;0;2023-11-09
50424998;6;2023-12-09;2214000.0;0;2023-12-07
50424998;7;2024-01-09;2214000.0;69985;2024-01-15
50424998;8;2024-02-09;2214000.0;0;2024-02-09
50424998;9;2024-03-09;2214000.0;0;2024-03-09
50424998;10;2024-04-09;2214000.0;0;2024-04-09
50424998;11;2024-05-09;2214000.0;0;2024-05-09
50424998;12;2024-06-09;2214000.0;87461;2024-06-10
50424998;13;2024-07-09;2214000.0;0;2024-07-09
50424998;14;2024-08-09;2214000.0;59079;2024-08-10
50424998;15;2024-09-09;2214000.0;0;2024-09-09
50424998;16;2024-10-09;2214000.0;0;2024-10-09
50424998;17;2024-11-09;2214000.0;0;2024-11-09
50424998;18;2024-12-09;2214000.0;0;2024-12-09
